time_s,flag,side,left_contact,right_contact,left_foot_z_m,right_foot_z_m,trunk_z_m,trunk_tilt_deg,head_yaw_rad,head_roll_rad,neck_pitch_rad,head_pitch_rad,action_head_yaw,action_head_roll,forbidden_ground_contact,root_x_m,root_y_m
0.02,0,-1,0,0,0.0062573249786822445,0.006189509749768719,0.12358640115819342,0.050097631374534934,1.860448046820104e-06,5.661364410175451e-07,0.3492701184930816,0.34909732652605263,0.0,0.0,0,-7.512073230567171e-05,-5.524633548591172e-05
0.04,0,-1,1,1,0.0004234798934854844,0.00016860675483986592,0.11835855443898839,0.15573391939021372,0.000298799338183391,8.821222359505874e-05,0.35015968323611285,0.3500592021652983,0.0,0.0,0,-0.00018648256331205078,-0.000151523721413254
0.06,0,-1,1,1,-0.0015113728402794298,-0.001751860834129912,0.11696179708664306,0.5086726173624578,0.0005937033966833806,0.0002326209093484176,0.3594056476138639,0.3579142571037314,0.0,0.0,0,-9.914417043232289e-05,-6.389537542810821e-05
0.08,0,-1,1,1,-0.001072560666684482,-0.0011646546238421665,0.11805296405192471,0.9830055049004942,0.0004807909998973974,0.00026693979924650546,0.36937651265252364,0.3653665485491909,0.0,0.0,0,0.00037807243511787627,3.249881821045375e-05
0.1,0,-1,1,1,-0.0007537856405528884,-0.0006792896613219655,0.1191536588659361,1.4588884412044478,0.00044881883608163125,0.00028242623723310605,0.37654608002543793,0.37115059942587125,0.0,0.0,0,0.0008122916208141117,0.00029108442701104154
0.12,0,-1,1,1,-0.0006651009700158264,-0.0003500731251883833,0.1200688114971236,1.9616931428584854,0.0004618087299204168,0.00030716469542295264,0.3806779881215289,0.3756915786971445,0.0,0.0,0,0.0010647017936575337,0.0005979059555519013
0.14,0,-1,1,1,-0.0005234316912114782,-0.00018550669231328157,0.1208658107159076,2.489462578644082,0.0004610367087152736,0.00033611495050495305,0.38063733227821034,0.3800235335351968,0.0,0.0,0,0.0006718963003836866,0.0007155516873535739
0.16,0,-1,1,1,-0.00048500010387882847,-0.00022253365789409035,0.12143392225509535,2.9476392618173426,0.0006137301307598235,0.000371304948132848,0.3777611627462218,0.38488312323053325,0.0,0.0,0,-8.885388461658044e-05,0.0006980065237450391
0.18,0,-1,1,1,-0.00037389126298780634,-0.00020765358855956081,0.1220068657550137,3.2313000288807454,0.0006376543832445066,0.0003960463474139147,0.3736616592272811,0.3899135362043175,0.0,0.0,0,-0.00086804061276274,0.0006361575806919026
0.2,0,-1,1,1,-0.0003101602192194311,-0.00019931959801329502,0.12248487455071322,3.369246279516593,0.0006408454001089985,0.0004172692872514771,0.3687925481620339,0.3947624786659768,0.0,0.0,0,-0.0016371831449897179,0.000590760012905889
0.22,0,-1,1,1,-0.0002899213473564373,-0.00020399807172729115,0.12285701641031659,3.368691824012859,0.0006432325959735285,0.0004384184730071128,0.3638664112813254,0.39918759967187956,0.0,0.0,0,-0.00232442486236117,0.000563388752669392
0.24,0,-1,1,1,-0.0002872642194569966,-0.00020544067512067582,0.1231511379877456,3.2546328559583193,0.0006474833949432366,0.00045995047980249443,0.3598110401784619,0.4029030050043901,0.0,0.0,0,-0.0028190547751059895,0.0005587021792456283
0.26,0,-1,1,1,-0.0002785369473145005,-0.000174708844967824,0.12339515592654789,3.0800299814492518,0.0006430141651625552,0.00047953848727082287,0.3572026197420427,0.4056582584187926,0.0,0.0,0,-0.0030859160885205517,0.000565875902511016
0.28,0,-1,1,1,-0.0002915061135512591,-0.00014847688760936256,0.12356538398831532,2.8930939577192865,0.0006524363741500366,0.000501696465111069,0.3563619921494119,0.40723429604903344,0.0,0.0,0,-0.0030812008187765852,0.0005342512958973343
